Set,Game,Server,ServerGameNum,Court,PointNum,ServeNum,Left_FH,Right_BH,Fault,PointWon,Note
3,7,PS,18,D,5,2,,1,,1,
3,8,AA,18,D,1,1,1,,1,,
3,8,AA,18,D,1,1,,1,,,RW
3,8,AA,18,A,2,1,1,,,1,
3,8,AA,18,D,3,1,,1,,,Let
3,8,AA,18,D,3,1,,1,,1,
3,8,AA,18,A,4,1,,1,,1,
3,8,AA,18,D,5,1,,1,,1,
3,9,PS,19,D,1,1,,1,,,Let
3,9,PS,19,D,1,1,,1,1,,
3,9,PS,19,D,1,2,,1,,1,A
3,9,PS,19,A,2,1,1,,,,
3,9,PS,19,D,3,1,,1,,1,A
3,9,PS,19,A,4,1,,1,,,RW
3,9,PS,19,D,5,1,1,,,1,
3,9,PS,19,A,6,1,,1,,,
3,9,PS,19,D,7,1,,1,1,,
3,9,PS,19,D,7,2,1,,,1,
3,9,PS,19,A,8,1,,1,,1,A
3,10,AA,19,D,1,1,,1,,1,
3,10,AA,19,A,2,1,,1,,1,
3,10,AA,19,D,3,1,,1,1,,
3,10,AA,19,D,3,2,1,,,,
3,10,AA,19,A,4,1,,1,1,,
3,10,AA,19,A,4,2,1,,,,
3,10,AA,19,D,5,1,,1,1,,
3,10,AA,19,D,5,2,,1,,1,
3,10,AA,19,A,6,1,1,,,,
3,11,PS,20,D,1,1,,1,,1,
3,11,PS,20,A,2,1,1,,,,L
3,11,PS,20,A,2,1,,1,,1,
3,11,PS,20,D,3,1,,1,,,
3,11,PS,20,A,4,1,,1,,1,
3,11,PS,20,D,5,1,,1,1,,
3,11,PS,20,D,5,2,,1,,1,
3,12,AA,20,D,1,1,1,,,1,A
3,12,AA,20,A,2,1,1,,1,,
3,12,AA,20,A,2,2,1,,,,
3,12,AA,20,D,3,1,,1,,1,
3,12,AA,20,A,4,1,,1,,1,
3,12,AA,20,D,5,1,,1,1,,
3,12,AA,20,D,5,2,,1,1,,
3,13,PS,21,D,1,1,,1,,1,SW
3,13,AA,21,A,2,1,,1,1,,
3,13,AA,21,A,2,2,,,,,
3,13,AA,21,D,3,1,1,,,1,
3,13,PS,21,A,4,1,1,,1,,
3,13,PS,21,A,4,2,1,,1,,DF
3,13,PS,21,D,5,1,1,,,1,
3,13,AA,21,A,6,1,,1,,,
3,13,AA,21,D,7,1,,1,,,
3,13,PS,21,A,8,1,1,,,1,A
3,13,PS,21,D,9,1,1,,,1,A
4,1,AA,22,D,1,1,,1,1,,
4,1,AA,22,D,1,2,,1,1,,DF
4,1,AA,22,A,2,1,,1,,,
4,1,AA,22,D,3,1,1,,1,,
4,1,AA,22,D,3,2,,1,,1,
4,1,AA,22,A,4,1,1,,1,,
4,1,AA,22,A,4,2,,1,,,
4,1,AA,22,D,5,1,,1,1,,
4,1,AA,22,D,5,2,,1,,1,
4,1,AA,22,A,6,1,,1,,1,
4,1,AA,22,D,7,1,,1,,1,A
4,1,AA,22,A,8,1,,1,,1,
4,2,PS,22,D,1,1,,1,,1,SW
4,2,PS,22,A,2,1,1,,,1,A
4,2,PS,22,D,3,1,,1,,,L
4,2,PS,22,D,3,1,,1,1,,
4,2,PS,22,D,3,2,,1,,1,A
4,2,PS,22,A,4,1,,1,,1,
